Date,Open,High,Low,Close,Volume,Volatility,Avg_Close_30,Avg_Volume_30,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_4,Close_Lag_5,Close_Lag_6,Close_Lag_7,Close_Lag_8,Close_Lag_9,Close_Lag_10,Close_Lag_11,Close_Lag_12,Close_Lag_13,Close_Lag_14,Close_Lag_15,Close_Lag_16,Close_Lag_17,Close_Lag_18,Close_Lag_19,Close_Lag_20,Close_Lag_21,Close_Lag_22,Close_Lag_23,Close_Lag_24,Close_Lag_25,Close_Lag_26,Close_Lag_27,Close_Lag_28,Close_Lag_29,Close_Lag_30
2010-02-17,367.0,368.0,359.5,360.0,86665,0.018127130929414616,374.125,135177.46666666667,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0,369.25,371.5,381.0,384.0,392.5,422.5,423.0,417.5,421.75,418.75,418.5
2010-02-18,360.5,361.5,355.5,357.25,98889,0.01810424060525272,372.075,135774.86666666667,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0,369.25,371.5,381.0,384.0,392.5,422.5,423.0,417.5,421.75,418.75
2010-02-19,355.0,360.5,353.25,360.0,97358,0.018116979019771478,370.01666666666665,135805.03333333333,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0,369.25,371.5,381.0,384.0,392.5,422.5,423.0,417.5,421.75
2010-02-22,360.0,376.75,360.0,371.5,192526,0.019304465513932428,368.48333333333335,137642.73333333334,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0,369.25,371.5,381.0,384.0,392.5,422.5,423.0,417.5
2010-02-23,370.0,373.0,367.25,367.75,113231,0.019069154661264392,366.64166666666665,136837.26666666666,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0,369.25,371.5,381.0,384.0,392.5,422.5,423.0
2010-02-24,367.75,376.0,367.5,375.25,73542,0.019597216266598844,365.06666666666666,134708.83333333334,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0,369.25,371.5,381.0,384.0,392.5,422.5
2010-02-25,374.75,375.0,369.25,372.25,77961,0.014971860713958713,364.39166666666665,132727.7,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0,369.25,371.5,381.0,384.0,392.5
2010-02-26,372.0,380.0,372.0,378.0,47785,0.01479413126677997,364.19166666666666,124268.33333333333,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0,369.25,371.5,381.0,384.0
2010-03-01,378.0,381.0,369.25,370.75,32859,0.015131750797487168,363.85,120336.36666666667,378.0,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0,369.25,371.5,381.0
2010-03-02,371.0,373.5,365.25,370.5,28409,0.014429313267734998,363.81666666666666,115807.56666666667,370.75,378.0,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0,369.25,371.5
2010-03-03,370.0,377.75,366.75,375.75,24319,0.014607482546987832,364.03333333333336,112437.6,370.5,370.75,378.0,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0,369.25
2010-03-04,375.0,375.0,369.25,372.0,20347,0.014720037842037856,364.1666666666667,109214.9,375.75,370.5,370.75,378.0,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0,368.0
2010-03-05,373.0,377.0,364.25,364.75,16347,0.015020582074290663,363.925,105838.53333333334,372.0,375.75,370.5,370.75,378.0,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75,372.0
2010-03-08,367.0,367.75,362.25,364.5,11798,0.014589002129917625,363.9166666666667,102356.93333333333,364.75,372.0,375.75,370.5,370.75,378.0,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75,364.75
2010-03-09,364.5,364.5,358.0,358.75,11569,0.014783706028820787,363.6166666666667,99961.73333333334,364.5,364.75,372.0,375.75,370.5,370.75,378.0,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25,367.75
2010-03-10,359.0,360.5,352.5,355.5,6883,0.014626269332132395,363.39166666666665,96637.4,358.75,364.5,364.75,372.0,375.75,370.5,370.75,378.0,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25,362.25
2010-03-11,356.75,357.75,352.0,355.5,4818,0.014490745813468485,363.3,93917.56666666667,355.5,358.75,364.5,364.75,372.0,375.75,370.5,370.75,378.0,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75,358.25
2010-03-12,356.25,357.25,353.25,354.0,71322,0.014385048641143332,363.0416666666667,92820.83333333333,355.5,355.5,358.75,364.5,364.75,372.0,375.75,370.5,370.75,378.0,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5,361.75
2010-03-15,365.0,366.25,362.0,363.25,74189,0.014935001821520839,363.26666666666665,90897.46666666666,354.0,355.5,355.5,358.75,364.5,364.75,372.0,375.75,370.5,370.75,378.0,372.25,375.25,367.75,371.5,360.0,357.25,360.0,367.25,361.5,363.25,361.75,358.5,356.0,351.5,354.0,353.0,365.0,359.0,356.5
